"zip_code","borough","rental_price","neighborhood","date"
10003,"Manhattan",3391.2817305026,"Lower East Side","x2016_05_31"
10003,"Manhattan",3402.24052361673,"Lower East Side","x2016_06_30"
10003,"Manhattan",3427.67253412363,"Lower East Side","x2016_07_31"
10003,"Manhattan",3429.94257310701,"Lower East Side","x2016_08_31"
10003,"Manhattan",3430.0683124939,"Lower East Side","x2016_09_30"
10003,"Manhattan",3391.2427708032,"Lower East Side","x2016_10_31"
10003,"Manhattan",3372.48450157872,"Lower East Side","x2016_11_30"
10003,"Manhattan",3330.91239821251,"Lower East Side","x2016_12_31"
10003,"Manhattan",3339.83572161306,"Lower East Side","x2017_01_31"
10003,"Manhattan",3339.06866646713,"Lower East Side","x2017_02_28"
10003,"Manhattan",3376.29589484721,"Lower East Side","x2017_03_31"
10003,"Manhattan",3406.81299804569,"Lower East Side","x2017_04_30"
10003,"Manhattan",3441.62439553544,"Lower East Side","x2017_05_31"
10003,"Manhattan",3469.33663792787,"Lower East Side","x2017_06_30"
10003,"Manhattan",3471.5558803554,"Lower East Side","x2017_07_31"
10003,"Manhattan",3464.02664237767,"Lower East Side","x2017_08_31"
10003,"Manhattan",3441.61206893496,"Lower East Side","x2017_09_30"
10003,"Manhattan",3423.54191219436,"Lower East Side","x2017_10_31"
10003,"Manhattan",3390.43321108127,"Lower East Side","x2017_11_30"
10003,"Manhattan",3365.26256229904,"Lower East Side","x2017_12_31"
10003,"Manhattan",3345.61673825026,"Lower East Side","x2018_01_31"
10003,"Manhattan",3352.59437458183,"Lower East Side","x2018_02_28"
10003,"Manhattan",3391.65398980343,"Lower East Side","x2018_03_31"
10003,"Manhattan",3429.9620990238,"Lower East Side","x2018_04_30"
10003,"Manhattan",3473.40383627293,"Lower East Side","x2018_05_31"
10003,"Manhattan",3495.22404229508,"Lower East Side","x2018_06_30"
10003,"Manhattan",3519.10916798578,"Lower East Side","x2018_07_31"
10003,"Manhattan",3530.92697975164,"Lower East Side","x2018_08_31"
10003,"Manhattan",3526.07464011102,"Lower East Side","x2018_09_30"
10003,"Manhattan",3509.14217555623,"Lower East Side","x2018_10_31"
10003,"Manhattan",3514.90889223246,"Lower East Side","x2018_11_30"
10003,"Manhattan",3484.13890815496,"Lower East Side","x2018_12_31"
10003,"Manhattan",3455.94185554189,"Lower East Side","x2019_01_31"
10003,"Manhattan",3427.90467605426,"Lower East Side","x2019_02_28"
10003,"Manhattan",3475.15546140572,"Lower East Side","x2019_03_31"
10003,"Manhattan",3524.99557170136,"Lower East Side","x2019_04_30"
10003,"Manhattan",3571.28742347027,"Lower East Side","x2019_05_31"
10003,"Manhattan",3580.84779450176,"Lower East Side","x2019_06_30"
10003,"Manhattan",3608.27627284944,"Lower East Side","x2019_07_31"
10003,"Manhattan",3625.39257511071,"Lower East Side","x2019_08_31"
10003,"Manhattan",3627.51084023742,"Lower East Side","x2019_09_30"
10003,"Manhattan",3620.66317386741,"Lower East Side","x2019_10_31"
10003,"Manhattan",3592.5132176585,"Lower East Side","x2019_11_30"
10003,"Manhattan",3583.89943850272,"Lower East Side","x2019_12_31"
10003,"Manhattan",3569.78377011717,"Lower East Side","x2020_01_31"
10003,"Manhattan",3603.75819447962,"Lower East Side","x2020_02_29"
10003,"Manhattan",3611.77614360671,"Lower East Side","x2020_03_31"
10003,"Manhattan",3594.67055769043,"Lower East Side","x2020_04_30"
